"","X","doi","article","model","sample_size","study_type","model_type","auc","auc_ci_low","auc_ci_upper","sens","sens_ci_lower","sens_ci_upper","spec","spec_ci_lower","spec_ci_upper","roc","roc_colour","roc_panel","exclude"
"45",88,"10_1016_j_intimp_2025_114317",1,1,505,"development","prognostic",0.943,0.915,0.97,88.2,NA,NA,85.8,NA,NA,"yes",NA,"Figure 3B","no"
"7437",9483,"10_1002_jmri_70205",5,14,112,"external validation","diagnostic",0.92,0.871,0.969,92.9,NA,NA,67.9,NA,NA,"yes","could not determine","Figure 7C","no"
"4089",5196,"10_3389_fmed_2025_1581904",2,12,2208,"development","diagnostic",0.668,0.643,0.692,60.5,56.9,64.1,64.7,62.2,67.1,"yes","could not determine","Figure 1D","no"
"2043",2710,"10_1111_jcpe_14194",4,23,273,"development","prognostic",0.78,0.69,0.87,99,NA,NA,15,NA,NA,"yes","could not determine","Figure 2","no"
"4576",5743,"10_3389_fnut_2025_1560655",5,33,525,"development","prognostic",0.595,0.527,0.663,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3F","no"
"3366",4343,"10_3389_fbioe_2025_1673339",3,20,128,"development","diagnostic",0.79,NA,NA,NA,NA,NA,NA,NA,NA,"yes","pink/magenta","Figure 5B","no"
"5415",6847,"10_7189_jogh_15_04204",4,3,NA,"internal validation","diagnostic",0.929,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1","no"
"2096",2796,"10_1007_s00259-025-07091-8",4,2,181,"development","diagnostic",0.9,0.85,0.942,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1c","no"
"4944",6204,"10_3390_biomedicines13030671",1,7,87,"internal validation","diagnostic",0.837,NA,NA,79.3,NA,NA,70.7,NA,NA,"yes",NA,"Figure 5D","no"
"141",187,"10_1016_j_jad_2025_119494",5,5,1489,"internal validation","diagnostic",0.845,NA,NA,58.6,NA,NA,88.5,NA,NA,"yes","could not determine","Figure 2B","no"
"2354",3151,"10_1177_20420986251328687",4,2,88,"external validation","prognostic",0.65,0.5,0.81,NA,NA,NA,NA,NA,NA,"yes","red","Figure 4","no"
"2281",3067,"10_1007_s00259-025-07435-4",1,8,95,"external validation","diagnostic",0.679,NA,NA,NA,NA,NA,NA,NA,NA,"yes","purple","Figure 3D","no"
"193",239,"10_1016_j_jad_2025_119729",5,22,159,"internal validation","prognostic",0.49,0.4,0.56,27,NA,NA,72,NA,NA,"yes","could not determine","Figure 2","no"
"861",1175,"10_1016_j_tjpad_2025_100077",2,11,303,"external validation","diagnostic",0.63,0.56,0.69,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"6998",8877,"10_1016_j_compbiomed_2025_110066",4,4,1653,"internal validation","diagnostic",0.626,NA,NA,NA,NA,NA,NA,NA,NA,"yes","red/pink","Figure 4 Validation Set 3 panel","no"
"6604",8223,"10_1016_j_ajo_2025_07_026",5,68,347,"development","prognostic",0.78,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3C","no"
"6087",7661,"10_1007_s11606-025-09462-1",2,14,114311,"development","prognostic",0.792,0.771,0.814,51.1,46.8,55.3,90.2,89.3,90.9,"yes","could not determine","Figure 1F","no"
"5807",7341,"10_1007_s10143-025-03194-w",3,5,82,"development","prognostic",0.54,0.4,0.69,26.2,NA,NA,83.3,NA,NA,"yes","orange","Figure 2","no"
"6027",7581,"10_1007_s10815-025-03507-4",4,3,428,"development","prognostic",0.51,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1","no"
"1785",2299,"10_1097_js9_0000000000002922",5,5,104,"internal validation","diagnostic",0.966,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4B","no"
"4376",5528,"10_3389_fmed_2025_1667488",4,7,6866,"development","prognostic",0.888,NA,NA,68.3238,NA,NA,89.4413,NA,NA,"yes","could not determine","Figure 2","no"
"4672",5843,"10_3389_fnut_2025_1667055",3,5,257,"internal validation","diagnostic",0.762,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3B","no"
"6802",8556,"10_1016_j_canlet_2025_217911",4,10,16,"internal validation","diagnostic",0.517,0.186,0.848,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 3C","no"
"4560",5727,"10_3389_fnut_2025_1560655",5,17,525,"development","prognostic",0.639,0.59,0.689,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3D","no"
"510",732,"10_1016_j_neurobiolaging_2025_12_005",1,7,109,"development","diagnostic",0.88,0.82,0.94,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3B","no"
"127",173,"10_1016_j_jad_2025_119634",3,3,1108,"development","diagnostic",0.7946,NA,NA,61.41,NA,NA,80.76,NA,NA,"yes","could not determine","Figure 3A","no"
"132",178,"10_1016_j_jad_2025_119634",3,8,474,"internal validation","diagnostic",0.8046,NA,NA,68.25,NA,NA,79.02,NA,NA,"yes","could not determine","Figure 3B","no"
"6641",8294,"10_1002_ijgo_70196",3,1,333,"external validation","prognostic",0.774,0.719,0.826,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 1","no"
"6662",8328,"10_1016_j_arth_2025_08_035",3,1,94,"development","prognostic",0.71,NA,NA,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 4","no"
"5369",6794,"10_3802_jgo_2025_36_e81",4,24,135,"development","diagnostic",0.7348,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3D","no"
"2629",3456,"10_1007_s00259-025-07603-6",5,1,962,"development","diagnostic",0.821,0.775,0.865,73.5,NA,NA,80,NA,NA,"yes","could not determine","Figure 2a","no"
"4438",5590,"10_3389_fmicb_2025_1514388",4,4,190,"development","prognostic",0.78,NA,NA,63.4,NA,NA,80.9,NA,NA,"yes","could not determine","Figure 4B","no"
"7292",9293,"10_1016_j_ejrad_2025_112199",4,2,111,"internal validation","diagnostic",0.78,0.69,0.87,70,NA,NA,59,NA,NA,"yes","blue","Figure 4a","no"
"1319",1737,"10_1080_07853890_2025_2528978",1,7,246,"development","diagnostic",0.721,NA,NA,59.5,NA,NA,75.3,NA,NA,"yes","could not determine","Figure 5C","no"
"1083",1454,"10_1038_s41380-025-03412-3",1,6,477,"development","prognostic",0.694,0.637,0.747,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2","no"
"2014",2681,"10_1111_jan_16806",5,2,180,"internal validation","prognostic",0.82,0.74,0.9,NA,NA,NA,NA,NA,NA,"yes","orange","Figure 3","no"
"2323",3116,"10_1177_17588359251395906",3,6,216,"external validation","prognostic",0.61,0.56,0.66,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 5a","no"
"1403",1821,"10_1080_07853890_2025_2566869",4,10,95,"development","prognostic",1,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2D","no"
"288",438,"10_1016_j_jinf_2025_106458",3,1,1010,"development","prognostic",0.68,0.64,0.72,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6","no"
"5309",6705,"10_3390_ph18070975",2,6,4289,"development","diagnostic",0.9074,NA,NA,NA,NA,NA,NA,NA,NA,"yes","brown","Figure 2","no"
"5140",6432,"10_3390_cancers18010152",1,4,45,"internal validation","diagnostic",0.872,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6B","no"
"4472",5624,"10_3389_fmolb_2025_1684809",4,3,151,"development","prognostic",0.47,0.37,0.56,89,NA,NA,13,NA,NA,"yes","could not determine","Figure 3B","no"
"3770",4849,"10_3389_fendo_2025_1651370",5,5,3305,"development","diagnostic",0.546,0.529,0.563,66.7,NA,NA,43.6,NA,NA,"yes","could not determine","Figure 5A","no"
"926",1267,"10_1016_j_tox_2025_154237",2,3,108,"development","diagnostic",0.773,NA,NA,85.4,NA,NA,59.3,NA,NA,"yes","could not determine","Figure 2C","no"
"6799",8553,"10_1016_j_canlet_2025_217911",4,7,31,"development","diagnostic",0.741,0.538,0.945,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 3C","no"
"2930",3806,"10_1371_journal_pmed_1004665",2,12,297,"internal validation","prognostic",0.892,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3N","no"
"4149",5256,"10_3389_fmed_2025_1606336",1,12,1582,"development","diagnostic",0.998,0.996,0.999,NA,NA,NA,98.9,NA,NA,"yes",NA,"Figure 5","no"
"4735",5907,"10_3389_fphar_2025_1540767",2,2,607,"development","prognostic",0.626,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4E","no"
"6161",7744,"10_1007_s12975-025-01345-1",3,8,38,"internal validation","diagnostic",0.853,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4d","no"
"3482",4463,"10_3389_fcvm_2025_1696609",1,1,4319,"internal validation","diagnostic",0.816,0.804,0.829,62.6,60.1,65.1,80,78.5,81.5,"yes","black","Figure 7","no"
"5550",6994,"10_3389_fcell_2025_1677290",1,11,550,"external validation","prognostic",0.701,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 3K","no"
"3295",4254,"10_3174_ajnr_a8432",5,5,80,"development","diagnostic",0.9,0.83,0.97,88.2,NA,NA,84.8,NA,NA,"yes",NA,"Figure 3A","no"
"3127",4051,"10_2147_itt_s539756",4,10,11,"external validation","diagnostic",0.821,NA,NA,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 10D","no"
"796",1090,"10_1016_j_sleep_2025_106559",5,2,51,"development","diagnostic",0.858,0.694,1,75,34.9,96.8,95.3,84.2,99.4,"yes","orange","Figure 1","no"
"6435",8036,"10_1016_j_acra_2025_04_072",4,2,185,"internal validation","diagnostic",0.99,0.992,0.998,95,NA,NA,96,NA,NA,"yes","could not determine","Figure 5a","no"
"6959",8813,"10_1016_j_cmpb_2025_109204",3,22,157,"external validation","diagnostic",0.67,0.58,0.75,100,100,100,6,2,11,"yes","could not determine","Figure 3","no"
"3695",4774,"10_3389_fendo_2025_1593917",2,18,5584,"development","prognostic",0.71,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"7235",9222,"10_1016_j_ejrad_2025_111983",5,5,132,"external validation","diagnostic",0.8,0.73,0.86,71,59,83,88,80,95,"yes","could not determine","Figure 4A","no"
"3889",4995,"10_3389_fmed_2025_1476722",4,1,282,"internal validation","prognostic",0.766,0.678,0.854,70.27,NA,NA,73.2,NA,NA,"yes",NA,"Figure 6A","no"
"3061",3985,"10_1007_s00330-024-11335-w",5,2,92,"development","diagnostic",0.906,NA,NA,100,NA,NA,77.5,NA,NA,"yes","could not determine","Figure 5C","no"
"6092",7666,"10_1007_s11606-025-09462-1",2,19,114311,"development","prognostic",0.769,0.757,0.781,46.2,44,48.4,90.2,89.9,90.6,"yes","could not determine","Figure 2F","no"
"6371",7972,"10_1016_j_acra_2025_04_062",3,6,98,"external validation","prognostic",0.76,0.63,0.88,80,NA,NA,65,NA,NA,"yes","orange","Figure 3c","no"
"6741",8495,"10_1016_j_breast_2025_104678",5,5,107,"external validation","prognostic",0.659,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 3I","no"
"1053",1424,"10_1021_acs_analchem_5c05543",4,1,42,"external validation","diagnostic",0.92,NA,NA,90.6,75.8,97.9,100,72.2,100,"yes","red","Figure 4F","no"
"2301",3090,"10_1177_17562848251333025",3,5,1344,"development","diagnostic",0.72,0.687,0.754,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6","no"
"3316",4275,"10_1007_s00330-025-11528-x",3,6,55,"external validation","diagnostic",0.723,0.582,0.865,48,NA,NA,96.7,NA,NA,"yes","red","Figure 4c","no"
"3590",4669,"10_3389_fendo_2025_1537386",4,2,214,"internal validation","diagnostic",0.893,0.846,0.94,76.4,NA,NA,86.6,NA,NA,"yes","could not determine","Figure 4A","no"
"3003",3922,"10_1002_btm2_70029",1,1,38,"development","diagnostic",0.76,0.61,0.91,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure S3b","no"
"2534",3361,"10_1186_s13098-025-01934-y",5,2,40,"development","diagnostic",0.975,0.936,1,96.9,NA,NA,97.1,30.9,100,"yes",NA,"Figure 2","no"
"5397",6829,"10_15441_ceem_25_075",2,5,135,"development","prognostic",0.701,0.614,0.779,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2B","no"
"5853",7387,"10_1007_s10143-025-03737-1",3,1,48,"development","diagnostic",0.697,0.49,0.952,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 4A","no"
"1710",2216,"10_1097_js9_0000000000002101",5,17,233,"internal validation","diagnostic",0.914,0.87,0.947,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 4E","no"
"7073",8973,"10_1016_j_compmedimag_2025_102620",5,16,185,"external validation","diagnostic",0.93,0.9,0.96,NA,NA,NA,NA,NA,NA,"yes","could not determine","Table 2","no"
"1827",2393,"10_1097_xcs_0000000000001306",2,12,255,"development","diagnostic",0.911,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Table 2","no"
"3785",4868,"10_3389_fendo_2025_1687145",2,9,51,"development","diagnostic",0.58,0.421,0.739,65.4,NA,NA,56,NA,NA,"yes","could not determine","Figure 2E","no"
"2676",3503,"10_1186_s40364-025-00804-z",1,8,282,"external validation","diagnostic",0.9705,NA,NA,NA,NA,NA,87.32,NA,NA,"yes","could not determine","Figure 7L","no"
"1100",1471,"10_1038_s41386-025-02176-2",2,12,161,"development","diagnostic",0.738,0.7,0.772,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2A","no"
"2862",3707,"10_1186_s41043-025-01083-y",4,3,5585,"development","prognostic",0.59,0.56,0.63,5.1,NA,NA,97.6,NA,NA,"yes","could not determine","Figure S4","no"
"5537",6981,"10_1007_s00408-024-00783-2",5,10,133,"external validation","diagnostic",0.751,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","e-Figure 2","no"
"6934",8736,"10_1016_j_cmpb_2025_108797",5,1,NA,"internal validation","diagnostic",0.849,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2A","no"
"1344",1762,"10_1080_07853890_2025_2520401",4,13,27,"external validation","diagnostic",0.86,0.68,0.99,78,NA,NA,83,NA,NA,"yes","could not determine","Figure 4","no"
"5682",7163,"10_1007_s00535-025-02223-1",4,5,285,"development","diagnostic",0.64,0.57,0.7,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 3","no"
"7275",9262,"10_1016_j_ejrad_2025_112272",1,5,102,"development","diagnostic",0.82,0.715,0.924,78.1,NA,NA,83.3,NA,NA,"yes","blue","Figure 3C","no"
"3574",4646,"10_1007_s00330-025-11593-2",4,8,57,"external validation","diagnostic",0.835,0.721,0.981,80,52.25,100,82.69,73.03,87.09,"yes","red","Figure 3B","no"
"3792",4875,"10_3389_fendo_2025_1687145",2,16,82,"development","diagnostic",0.973,0.944,1.002,100,NA,NA,85.7,NA,NA,"yes","could not determine","Figure 2H","no"
"3050",3974,"10_1007_s00330-025-11385-8",3,11,108,"external validation","prognostic",0.875,0.781,0.967,84,68.3,100,74.7,65.1,88,"yes","could not determine","Figure 2","no"
"3045",3969,"10_1007_s00330-025-11385-8",3,6,118,"development","prognostic",0.949,0.899,0.999,81.8,74.8,88.8,95.7,91.7,99.7,"yes","could not determine","Figure 2","no"
"556",782,"10_1016_j_msard_2025_106302",5,2,88,"development","diagnostic",0.83,NA,NA,87,NA,NA,71,NA,NA,"yes","green","Figure 4","no"
"6146",7729,"10_1007_s12028-025-02414-x",5,3,637,"development","diagnostic",0.82,0.78,0.87,77.46,NA,NA,70.14,NA,NA,"yes","could not determine","Figure 4","no"
"4490",5642,"10_3389_fmolb_2025_1684809",4,21,151,"development","prognostic",0.92,0.87,0.96,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 3B","no"
"1289",1698,"10_1080_07853890_2025_2483379",2,2,78,"external validation","diagnostic",0.677,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 7I","no"
"709",991,"10_1016_j_radonc_2025_111066",5,3,319,"external validation","prognostic",0.966,NA,NA,NA,NA,NA,NA,NA,NA,"yes","orange","Figure 1C","no"
"5808",7342,"10_1007_s10143-025-03194-w",3,6,82,"development","prognostic",0.8,0.7,0.91,82.1,NA,NA,77.8,NA,NA,"yes","blue","Figure 3","no"
"3017",3936,"10_1002_ccd_31498",2,5,53,"development","diagnostic",0.767,0.635,0.9,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 3","no"
"6453",8054,"10_1016_j_acra_2025_04_072",4,20,545,"external validation","diagnostic",0.97,0.951,0.992,88,NA,NA,95,NA,NA,"yes","could not determine","Figure 5i","no"
"1562",2067,"10_1097_aud_0000000000001670",4,8,928,"development","diagnostic",0.85,NA,NA,79,NA,NA,82,NA,NA,"yes","could not determine","Figure 4","no"
"2684",3520,"10_1186_s40644-025-00837-5",3,12,134,"external validation","diagnostic",0.803,0.735,0.87,70.8,NA,NA,79.7,NA,NA,"yes","could not determine","Figure 5a","no"
"4559",5726,"10_3389_fnut_2025_1560655",5,16,525,"development","prognostic",0.702,0.637,0.766,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3F","no"
"2670",3497,"10_1186_s40364-025-00804-z",1,2,567,"development","diagnostic",0.9871,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 7E","no"
"274",423,"10_1016_j_jdent_2025_105992",4,11,282,"development","diagnostic",0.9,NA,NA,70,NA,NA,99,NA,NA,"yes",NA,"Figure 4","no"
"3023",3942,"10_1002_ccd_31526",3,5,4707,"development","prognostic",0.5,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure S1","no"
"6753",8507,"10_1016_j_cca_2025_120150",2,2,164,"internal validation","diagnostic",0.521,0.441,0.599,50,NA,NA,60.98,NA,NA,"yes",NA,"Figure 3D","no"
"2203",2925,"10_1155_jonm_2572646",2,1,1400,"development","diagnostic",0.928,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 4","no"
"2643",3470,"10_1007_s00259-025-07603-6",5,15,163,"development","diagnostic",0.765,0.617,0.89,78.6,NA,NA,75.8,NA,NA,"yes","could not determine","Figure 3c","no"
"4732",5904,"10_3389_fphar_2025_1534107",1,2,453,"development","prognostic",0.6,NA,NA,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 2","no"
"3812",4898,"10_3389_fendo_2025_1697233",1,12,41,"external validation","diagnostic",0.67,0.633,0.707,80.6,73.4,87.1,41.2,31.7,50.7,"yes","could not determine","Figure 5D","no"
"3826",4928,"10_3389_fendo_2025_1699656",3,4,40,"development","prognostic",0.65,0.47,0.824,NA,NA,NA,NA,NA,NA,"yes","red","Figure 2B","no"
"7504",9592,"10_1016_j_ijbiomac_2025_143601",1,23,12099,"development","diagnostic",0.8264,NA,NA,71.34,NA,NA,78.77,NA,NA,"yes","could not determine","Figure 11","no"
"180",226,"10_1016_j_jad_2025_119729",5,9,159,"internal validation","prognostic",0.5,0.47,0.64,52,NA,NA,49,NA,NA,"yes","could not determine","Figure 1","no"
"2759",3595,"10_1186_s40644-025-00856-2",4,11,139,"internal validation","diagnostic",0.76,0.68,0.828,76,59.3,92.7,68.4,59.9,77,"yes","could not determine","Figure S3","no"
"839",1141,"10_1016_j_spinee_2025_01_033",4,4,100,"external validation","prognostic",0.835,0.738,0.918,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4A","no"
"3829",4931,"10_3389_fendo_2025_1699656",3,7,40,"development","prognostic",0.565,0.46,0.77,NA,NA,NA,NA,NA,NA,"yes","red","Figure 2C","no"
"1409",1827,"10_1080_07853890_2025_2566869",4,16,41,"internal validation","prognostic",0.78,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2E","no"
"71",117,"10_1016_j_intimp_2025_115557",3,6,67,"development","diagnostic",0.941,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 7E","no"
"4009",5116,"10_3389_fmed_2025_1543665",5,1,200,"development","prognostic",0.881,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 7A","no"
"259",363,"10_1016_j_jep_2025_120451",2,6,69852,"development","diagnostic",0.9785,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 9","no"
"6724",8418,"10_1016_j_canlet_2025_217456",2,6,130,"development","diagnostic",0.996,0.99,1,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure S4A","no"
"7447",9511,"10_1016_j_ejvs_2025_04_002",4,4,2134,"external validation","prognostic",0.607,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1A","no"
"5071",6347,"10_3390_cancers17152515",3,9,4189,"development","prognostic",0.747,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6a","no"
"480",687,"10_1016_j_labinv_2025_104204",2,5,108,"internal validation","diagnostic",0.707,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 5A","no"
"1829",2395,"10_1109_jbhi_2024_3482001",3,1,235,"development","diagnostic",0.7903,NA,NA,78.3,NA,NA,79.75,NA,NA,"yes","blue","Figure 5b","no"
"4580",5747,"10_3389_fnut_2025_1586606",1,4,2813,"development","diagnostic",0.878,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2B","no"
"2215",2956,"10_1161_circimaging_124_017197",4,2,37,"development","diagnostic",0.83,0.71,0.95,82,NA,NA,75,NA,NA,"yes","dark blue","Figure 2 (Plaque burden at MLA)","no"
"6750",8504,"10_1016_j_cca_2025_120143",1,8,259,"external validation","diagnostic",0.976,NA,NA,91.3,NA,NA,95.7,NA,NA,"yes",NA,"Figure 5B","no"
"3539",4527,"10_3389_fendo_2025_1423040",5,9,496,"external validation","prognostic",0.73,0.696,0.763,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 7C","no"
"337",529,"10_1016_j_jmsacl_2025_11_003",2,44,804,"external validation","diagnostic",0.94,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Fig 2P","no"
"3639",4718,"10_3389_fendo_2025_1551108",5,2,348,"internal validation","diagnostic",0.866,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3B","no"
"4418",5570,"10_3389_fmed_2025_1694320",4,2,1125,"internal validation","diagnostic",0.765,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3B","no"
"1360",1778,"10_1080_07853890_2025_2561224",2,7,NA,"development","diagnostic",0.867,0.7702,0.9638,74,NA,NA,85,NA,NA,"yes","could not determine","Figure 3A","no"
"3714",4793,"10_3389_fendo_2025_1585818",5,1,170,"development","prognostic",0.564,0.461,0.666,NA,NA,NA,NA,NA,NA,"yes","purple","Figure 2","no"
"2153",2854,"10_1128_jcm_01186-25",2,12,NA,"external validation","diagnostic",0.75,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"3540",4528,"10_3389_fendo_2025_1423040",5,10,496,"external validation","prognostic",0.645,0.608,0.68,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 7C","no"
"6047",7601,"10_1007_s11547-025-02015-w",2,5,106,"development","diagnostic",0.95,NA,NA,90.5,NA,NA,98.6,NA,NA,"yes","yellow","Figure 3c","no"
"2036",2703,"10_1111_jcpe_14194",4,16,273,"development","prognostic",0.83,0.59,1,52,NA,NA,81,NA,NA,"yes","could not determine","Figure 2","no"
"6868",8630,"10_1016_j_cllc_2025_10_006",2,2,64,"development","diagnostic",0.714,0.573,0.851,76.2,NA,NA,66.7,NA,NA,"yes",NA,"Figure 3","no"
"6154",7737,"10_1007_s12975-025-01345-1",3,1,150,"development","diagnostic",0.697,0.612,0.781,70.4,59,79.7,55.1,42.7,66.9,"yes","orange","Figure 4c","no"
"5270",6596,"10_3390_jcm14186452",3,2,73,"development","prognostic",0.739,0.626,0.852,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 3","no"
"2058",2725,"10_1111_jcpe_14194",4,38,273,"development","prognostic",0.71,0.61,0.81,100,NA,NA,0,NA,NA,"yes","could not determine","Figure 2","no"
"6555",8174,"10_1016_j_ajo_2025_07_026",5,19,120,"development","prognostic",0.95,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3A","no"
"5898",7435,"10_1007_s10238-025-01580-8",1,2,275,"internal validation","prognostic",0.688,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6F","no"
"6020",7574,"10_1007_s11547-025-01968-2",3,2,215,"internal validation","diagnostic",0.881,0.831,0.932,93.4,NA,NA,80.9,NA,NA,"yes","could not determine","Figure 3A","no"
"2327",3120,"10_1177_17562848251340495",4,4,55,"development","diagnostic",0.9,0.8,1,92,NA,NA,93,NA,NA,"yes","could not determine","Figure 2","no"
"907",1238,"10_1007_s00062-025-01593-6",3,9,41,"development","diagnostic",0.84,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 8","no"
"4029",5136,"10_3389_fmed_2025_1559613",5,1,48,"internal validation","prognostic",0.836,0.785,0.873,85.3,NA,NA,85.7,NA,NA,"yes","blue","Figure 1D","no"
"1037",1404,"10_1017_gmh_2025_10083",2,1,1703,"development","diagnostic",0.81,0.78,0.84,72,69,76,84,81,87,"yes","orange","Figure 5","no"
"1997",2663,"10_1111_epi_18675",4,4,18,"development","prognostic",0.76,NA,NA,NA,NA,NA,NA,NA,NA,"yes","orange","Figure 5","no"
"1088",1459,"10_1038_s41380-025-03412-3",1,11,148,"internal validation","prognostic",0.652,0.539,0.747,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4B","no"
"2152",2853,"10_1128_jcm_01186-25",2,11,4664,"development","diagnostic",0.82,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2","no"
"722",1004,"10_1016_j_resuscitation_2025_110837",1,7,122,"development","prognostic",0.77,0.69,0.84,NA,NA,NA,NA,NA,NA,"yes","grey solid","Figure 4D","no"
"1840",2406,"10_1097_shk_0000000000002569",4,5,133,"development","prognostic",0.58,NA,NA,NA,NA,NA,NA,NA,NA,"yes","purple","Figure 3","no"
"5610",7054,"10_1007_s00432-025-06196-9",2,1,113,"development","diagnostic",0.838,0.75,0.926,78.57,NA,NA,91.55,NA,NA,"yes","red","Figure 3A","no"
"1222",1617,"10_1007_s00127-025-02857-9",5,8,2071,"development","prognostic",0.616,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1B","no"
"807",1101,"10_1016_j_sleep_2025_106559",5,13,51,"development","diagnostic",0.995,0.98,1,100,39.8,100,83,69.2,92.4,"yes","green","Figure 3","no"
"829",1123,"10_1016_j_spinee_2025_05_025",1,11,103,"external validation","prognostic",0.73,0.581,0.879,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2B","no"
"4651",5821,"10_1007_s00345-025-06132-z",3,5,84,"internal validation","diagnostic",0.88,NA,NA,NA,NA,NA,91,NA,NA,"yes","could not determine","Figure 1C","no"
"4314",5438,"10_1007_s00330-025-12117-8",3,15,106,"internal validation","diagnostic",0.75,0.65,0.85,70.37,NA,NA,63.29,NA,NA,"yes","red","Figure 5b","no"
"2970",3859,"10_2106_jbjs_24_01559",5,13,NA,"internal validation","diagnostic",0.9874,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6F","no"
"4847",6074,"10_3389_fpsyt_2025_1581314",2,3,96,"development","diagnostic",0.86,0.83,0.89,73,64,82,82,78,86,"yes","pink","Figure 2a","no"
"4165",5272,"10_3389_fmed_2025_1606336",1,28,1582,"development","diagnostic",0.987,0.984,0.989,NA,NA,NA,97.4,NA,NA,"yes",NA,"Figure 6","no"
