"","doi","article","model","sample_size","study_type","model_type","auc","auc_ci_low","auc_ci_upper","sens","sens_ci_lower","sens_ci_upper","spec","spec_ci_lower","spec_ci_upper","roc","roc_colour","roc_panel","exclude"
"4770","10_3389_fendo_2025_1593917",2,"14",5584,"development","prognostic",0.71,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"4771","10_3389_fendo_2025_1593917",2,"15",5584,"development","prognostic",0.76,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"4772","10_3389_fendo_2025_1593917",2,"16",5584,"development","prognostic",0.74,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"4773","10_3389_fendo_2025_1593917",2,"17",5584,"development","prognostic",0.74,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"4774","10_3389_fendo_2025_1593917",2,"18",5584,"development","prognostic",0.71,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"4775","10_3389_fendo_2025_1593917",2,"19",5584,"development","prognostic",0.63,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"4776","10_3389_fendo_2025_1593917",2,"20",5584,"development","prognostic",0.8,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"4777","10_3389_fendo_2025_1609966",3,"1",200,"development","diagnostic",0.7,0.628,0.772,50,NA,NA,86,NA,NA,"yes","blue","Figure 2","no"
"4778","10_3389_fendo_2025_1576955",4,"1",111,"development","diagnostic",0.759,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4","no"
"4779","10_3389_fendo_2025_1576955",4,"2",111,"development","diagnostic",0.67,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6A","no"
"4780","10_3389_fendo_2025_1576955",4,"3",111,"development","diagnostic",0.58,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6A","no"
"4781","10_3389_fendo_2025_1576955",4,"4",111,"development","diagnostic",0.64,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6A","no"
"4782","10_3389_fendo_2025_1576955",4,"5",111,"development","diagnostic",0.84,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6A","no"
"4783","10_3389_fendo_2025_1576955",4,"6",111,"development","diagnostic",0.93,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6A","no"
"4784","10_3389_fendo_2025_1576955",4,"7",111,"development","diagnostic",0.97,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6A","no"
"4785","10_3389_fendo_2025_1576955",4,"8",111,"development","diagnostic",0.95,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6A","no"
"4786","10_3389_fendo_2025_1576955",4,"9",111,"development","diagnostic",0.8,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6B","no"
"4787","10_3389_fendo_2025_1576955",4,"10",111,"development","diagnostic",0.85,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6B","no"
"4788","10_3389_fendo_2025_1576955",4,"11",111,"development","diagnostic",0.85,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6B","no"
"4789","10_3389_fendo_2025_1576955",4,"12",111,"development","diagnostic",0.87,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6B","no"
"4790","10_3389_fendo_2025_1576955",4,"13",111,"development","diagnostic",0.92,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6B","no"
"4791","10_3389_fendo_2025_1576955",4,"14",111,"development","diagnostic",0.97,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6B","no"
"4792","10_3389_fendo_2025_1576955",4,"15",111,"development","diagnostic",0.94,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6B","no"
"4793","10_3389_fendo_2025_1585818",5,"1",170,"development","prognostic",0.564,0.461,0.666,NA,NA,NA,NA,NA,NA,"yes","purple","Figure 2","no"
"4794","10_3389_fendo_2025_1585818",5,"2",170,"development","prognostic",0.476,0.376,0.577,NA,NA,NA,NA,NA,NA,"yes","green","Figure 2","no"
"4795","10_3389_fendo_2025_1585818",5,"3",170,"development","prognostic",0.52,0.427,0.613,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 2","no"
"4796","10_3389_fendo_2025_1585818",5,"4",170,"development","prognostic",0.441,0.34,0.542,NA,NA,NA,NA,NA,NA,"yes","red","Figure 2","no"
"4797","10_3389_fendo_2025_1617229",1,"1",1584,"development","prognostic",0.631,0.595,0.657,NA,NA,NA,NA,NA,NA,"yes","could not determine","could not determine","no"
"4798","10_3389_fendo_2025_1617229",1,"2",1584,"development","prognostic",0.663,0.631,0.695,44.4,NA,NA,80.9,NA,NA,"yes","could not determine","Figure 4A","no"
"4799","10_3389_fendo_2025_1621878",2,"1",26,"development","diagnostic",0.7857,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3G","no"
"4800","10_3389_fendo_2025_1621878",2,"2",26,"development","diagnostic",0.7798,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3G","no"
"4801","10_3389_fendo_2025_1631445",3,"1",2151,"development","diagnostic",0.893,NA,NA,NA,NA,NA,NA,NA,NA,"yes","green","Figure 1B","no"
"4802","10_3389_fendo_2025_1631445",3,"2",2151,"development","diagnostic",0.575,NA,NA,NA,NA,NA,NA,NA,NA,"yes","orange","Figure 1B","no"
"4803","10_3389_fendo_2025_1631445",3,"3",2151,"development","diagnostic",0.54,NA,NA,NA,NA,NA,NA,NA,NA,"yes","red","Figure 1B","no"
"4804","10_3389_fendo_2025_1631445",3,"4",2151,"development","diagnostic",0.911,0.891,0.932,87.4,NA,NA,95.5,NA,NA,"yes","dark red","Figure 1B","no"
"4805","10_3389_fendo_2025_1631445",3,"5",1619,"external validation","diagnostic",0.87,0.843,0.896,81.6,NA,NA,96.1,NA,NA,"yes","red","Figure 1E","no"
"4806","10_3389_fendo_2025_1611257",4,"1",664,"development","diagnostic",0.502,0.468,0.536,NA,NA,NA,NA,NA,NA,"yes","could not determine","could not determine","no"
"4807","10_3389_fendo_2025_1611257",4,"2",664,"development","diagnostic",0.512,0.473,0.55,NA,NA,NA,NA,NA,NA,"yes","could not determine","could not determine","no"
"4808","10_3389_fendo_2025_1611257",4,"3",664,"development","diagnostic",0.503,0.468,0.539,NA,NA,NA,NA,NA,NA,"yes","could not determine","could not determine","no"
"4809","10_3389_fendo_2025_1613662",5,"1",1969,"development","prognostic",0.72,0.68,0.74,NA,NA,NA,NA,NA,NA,"yes","purple","Figure 5","no"
"4810","10_3389_fendo_2025_1613662",5,"2",1969,"development","prognostic",0.68,0.65,0.71,NA,NA,NA,NA,NA,NA,"yes","orange","Figure 5","no"
"4811","10_3389_fendo_2025_1613662",5,"3",1969,"development","prognostic",0.61,0.57,0.65,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 5","no"
"4812","10_3389_fendo_2025_1613662",5,"4",1969,"development","prognostic",0.53,0.5,0.56,NA,NA,NA,NA,NA,NA,"yes","green","Figure 5","no"
"4813","10_3389_fendo_2025_1613662",5,"5",1969,"development","prognostic",0.63,0.6,0.67,NA,NA,NA,NA,NA,NA,"yes","red","Figure 5","no"
"4814","10_3389_fendo_2025_1613662",5,"6",591,"internal validation","prognostic",0.841,0.796,0.886,NA,NA,NA,NA,NA,NA,"yes","yellow","Figure 7","no"
"4815","10_3389_fendo_2025_1655828",1,"1",193,"development","diagnostic",0.89,0.84,0.93,92,NA,NA,70,NA,NA,"yes","green","Figure 2A","no"
"4816","10_3389_fendo_2025_1655828",1,"2",193,"development","diagnostic",0.83,0.77,0.89,87,NA,NA,71,NA,NA,"yes","red","Figure 2A","no"
"4817","10_3389_fendo_2025_1655828",1,"3",193,"development","diagnostic",0.92,0.89,0.96,78,NA,NA,91,NA,NA,"yes","blue","Figure 2A","no"
"4818","10_3389_fendo_2025_1655828",1,"4",193,"development","diagnostic",0.9,0.86,0.95,82,NA,NA,85,NA,NA,"yes","orange","Figure 2A","no"
"4819","10_3389_fendo_2025_1655828",1,"5",193,"development","diagnostic",0.88,0.83,0.93,73,NA,NA,85,NA,NA,"yes","purple","Figure 2A","no"
"4820","10_3389_fendo_2025_1655828",1,"6",193,"development","diagnostic",0.9,0.86,0.94,79,NA,NA,84,NA,NA,"yes","brown","Figure 2A","no"
"4821","10_3389_fendo_2025_1655828",1,"7",83,"internal validation","diagnostic",0.823,0.732,0.915,85,NA,NA,55,NA,NA,"yes","green","Figure 2B","no"
"4822","10_3389_fendo_2025_1655828",1,"8",83,"internal validation","diagnostic",0.758,0.657,0.859,82,NA,NA,61,NA,NA,"yes","red","Figure 2B","no"
"4823","10_3389_fendo_2025_1655828",1,"9",83,"internal validation","diagnostic",0.792,0.694,0.89,70,NA,NA,72,NA,NA,"yes","blue","Figure 2B","no"
"4824","10_3389_fendo_2025_1655828",1,"10",83,"internal validation","diagnostic",0.817,0.722,0.912,74,NA,NA,72,NA,NA,"yes","orange","Figure 2B","no"
"4825","10_3389_fendo_2025_1655828",1,"11",83,"internal validation","diagnostic",0.822,0.73,0.913,63,NA,NA,86,NA,NA,"yes","purple","Figure 2B","no"
"4826","10_3389_fendo_2025_1655828",1,"12",83,"internal validation","diagnostic",0.771,0.668,0.873,80,NA,NA,59,NA,NA,"yes","brown","Figure 2B","no"
"4827","10_3389_fendo_2025_1655828",1,"13",193,"development","diagnostic",0.871,0.817,0.926,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4A","no"
"4828","10_3389_fendo_2025_1655828",1,"14",83,"internal validation","diagnostic",0.846,0.762,0.93,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4B","no"
"4829","10_3389_fendo_2025_1656942",2,"1",1049,"development","diagnostic",0.75,NA,NA,63,NA,NA,75,NA,NA,"yes","blue","Figure 3","no"
"4830","10_3389_fendo_2025_1656942",2,"2",1049,"development","diagnostic",0.79,NA,NA,76,NA,NA,75,NA,NA,"yes","red","Figure 3","no"
"4831","10_3389_fendo_2025_1658068",3,"1",15241,"development","diagnostic",0.858,0.849,0.867,NA,NA,NA,NA,NA,NA,"yes","green","Figure 1A","no"
"4832","10_3389_fendo_2025_1658068",3,"2",14498,"internal validation","diagnostic",0.845,0.834,0.855,NA,NA,NA,NA,NA,NA,"yes","green","Figure 1B","no"
"4833","10_3389_fendo_2025_1658068",3,"3",15241,"development","diagnostic",0.86,0.851,0.869,NA,NA,NA,NA,NA,NA,"yes","purple","Figure 1A","no"
"4834","10_3389_fendo_2025_1658068",3,"4",14498,"internal validation","diagnostic",0.847,0.837,0.857,NA,NA,NA,NA,NA,NA,"yes","purple","Figure 1B","no"
"4835","10_3389_fendo_2025_1658068",3,"5",15241,"development","diagnostic",0.861,0.851,0.87,NA,NA,NA,NA,NA,NA,"yes","red","Figure 1A","no"
"4836","10_3389_fendo_2025_1658068",3,"6",14498,"internal validation","diagnostic",0.847,0.837,0.857,NA,NA,NA,NA,NA,NA,"yes","red","Figure 1B","no"
"4837","10_3389_fendo_2025_1650116",4,"1",144,"development","diagnostic",0.837,0.766,0.907,65.3,NA,NA,87.4,NA,NA,"yes","could not determine","Figure 3A","no"
"4838","10_3389_fendo_2025_1650116",4,"2",144,"development","diagnostic",0.739,0.651,0.827,63.3,NA,NA,84.2,NA,NA,"yes","could not determine","Figure 3A","no"
"4839","10_3389_fendo_2025_1650116",4,"3",144,"development","diagnostic",0.739,0.649,0.829,57.1,NA,NA,89.5,NA,NA,"yes","could not determine","Figure 3A","no"
"4840","10_3389_fendo_2025_1650116",4,"4",144,"development","diagnostic",0.691,0.599,0.784,44.9,NA,NA,86.3,NA,NA,"yes","could not determine","Figure 3A","no"
"4841","10_3389_fendo_2025_1650116",4,"5",144,"development","diagnostic",0.829,0.753,0.905,77.6,NA,NA,78.9,NA,NA,"yes","could not determine","Figure 3B","no"
"4842","10_3389_fendo_2025_1650116",4,"6",144,"development","diagnostic",0.763,0.681,0.845,53.1,NA,NA,89.5,NA,NA,"yes","could not determine","Figure 3B","no"
"4843","10_3389_fendo_2025_1650116",4,"7",144,"development","diagnostic",0.759,0.676,0.841,65.3,NA,NA,76.8,NA,NA,"yes","could not determine","Figure 3B","no"
"4844","10_3389_fendo_2025_1650116",4,"8",144,"development","diagnostic",0.74,0.656,0.824,73.5,NA,NA,69.5,NA,NA,"yes","could not determine","Figure 3B","no"
"4845","10_3389_fendo_2025_1651370",5,"1",3305,"development","diagnostic",0.712,0.696,0.728,81.2,NA,NA,50.6,NA,NA,"yes","could not determine","Figure 5A","no"
"4846","10_3389_fendo_2025_1651370",5,"2",3305,"development","diagnostic",0.685,0.669,0.701,75.1,NA,NA,54.4,NA,NA,"yes","could not determine","Figure 5A","no"
"4847","10_3389_fendo_2025_1651370",5,"3",3305,"development","diagnostic",0.684,0.668,0.7,67,NA,NA,61.3,NA,NA,"yes","could not determine","Figure 5A","no"
"4848","10_3389_fendo_2025_1651370",5,"4",3305,"development","diagnostic",0.615,0.598,0.632,59.4,NA,NA,59,NA,NA,"yes","could not determine","Figure 5A","no"
"4849","10_3389_fendo_2025_1651370",5,"5",3305,"development","diagnostic",0.546,0.529,0.563,66.7,NA,NA,43.6,NA,NA,"yes","could not determine","Figure 5A","no"
"4850","10_3389_fendo_2025_1651370",5,"6",3305,"development","diagnostic",0.546,0.528,0.563,56.7,NA,NA,52.9,NA,NA,"yes","could not determine","Figure 5A","no"
"4851","10_3389_fendo_2025_1651370",5,"7",3305,"development","diagnostic",0.664,0.648,0.68,62.8,NA,NA,62.5,NA,NA,"yes","could not determine","Figure 5D","no"
"4852","10_3389_fendo_2025_1651370",5,"8",3305,"development","diagnostic",0.666,0.65,0.682,71.3,NA,NA,54,NA,NA,"yes","could not determine","Figure 5D","no"
"4853","10_3389_fendo_2025_1651370",5,"9",3305,"development","diagnostic",0.631,0.614,0.648,64.9,NA,NA,54.1,NA,NA,"yes","could not determine","Figure 5D","no"
"4854","10_3389_fendo_2025_1684608",1,"1",133,"development","diagnostic",0.848,0.813,0.883,79.9,NA,NA,73.1,NA,NA,"no","could not determine","could not determine","no"
"4855","10_3389_fendo_2025_1684608",1,"2",133,"development","diagnostic",0.829,0.766,0.892,74.1,NA,NA,72.9,NA,NA,"no","could not determine","could not determine","no"
"4856","10_3389_fendo_2025_1684608",1,"3",133,"development","diagnostic",0.853,0.786,0.92,70.6,NA,NA,79.4,NA,NA,"yes","could not determine","could not determine","no"
"4857","10_3389_fendo_2025_1684608",1,"4",133,"development","diagnostic",0.829,0.778,0.88,81.3,NA,NA,68.7,NA,NA,"no","could not determine","could not determine","no"
"4858","10_3389_fendo_2025_1684608",1,"5",133,"development","diagnostic",0.805,0.738,0.872,73.5,NA,NA,76.5,NA,NA,"yes","could not determine","could not determine","no"
"4859","10_3389_fendo_2025_1684608",1,"6",133,"development","diagnostic",0.687,0.612,0.762,61.8,NA,NA,67.6,NA,NA,"no","could not determine","could not determine","no"
"4860","10_3389_fendo_2025_1687145",2,"1",167,"development","diagnostic",0.87,0.817,0.924,90.7,NA,NA,66.7,NA,NA,"yes","could not determine","Figure 2A","no"
"4861","10_3389_fendo_2025_1687145",2,"2",167,"development","diagnostic",0.94,0.901,0.979,91.6,NA,NA,81.7,NA,NA,"yes","could not determine","Figure 2B","no"
"4862","10_3389_fendo_2025_1687145",2,"3",167,"development","diagnostic",0.97,0.945,0.996,97.2,NA,NA,88.3,NA,NA,"yes","could not determine","Figure 2A","no"
"4863","10_3389_fendo_2025_1687145",2,"4",167,"development","diagnostic",0.819,0.755,0.883,82.2,NA,NA,61.7,NA,NA,"yes","could not determine","Figure 2B","no"
"4864","10_3389_fendo_2025_1687145",2,"5",81,"development","diagnostic",0.966,0.932,1.001,96,NA,NA,76.8,NA,NA,"yes","could not determine","Figure 2C","no"
"4865","10_3389_fendo_2025_1687145",2,"6",81,"development","diagnostic",0.539,0.388,0.689,64,NA,NA,42.9,NA,NA,"yes","could not determine","Figure 2D","no"
"4866","10_3389_fendo_2025_1687145",2,"7",81,"development","diagnostic",0.529,0.384,0.673,72,NA,NA,51.8,NA,NA,"yes","could not determine","Figure 2C","no"
"4867","10_3389_fendo_2025_1687145",2,"8",81,"development","diagnostic",0.978,0.947,1.009,100,NA,NA,96.4,NA,NA,"yes","could not determine","Figure 2D","no"
"4868","10_3389_fendo_2025_1687145",2,"9",51,"development","diagnostic",0.58,0.421,0.739,65.4,NA,NA,56,NA,NA,"yes","could not determine","Figure 2E","no"
"4869","10_3389_fendo_2025_1687145",2,"10",51,"development","diagnostic",0.666,0.509,0.823,65.4,NA,NA,80,NA,NA,"yes","could not determine","Figure 2F","no"
"4870","10_3389_fendo_2025_1687145",2,"11",51,"development","diagnostic",0.64,0.477,0.803,73.1,NA,NA,76,NA,NA,"yes","could not determine","Figure 2E","no"
"4871","10_3389_fendo_2025_1687145",2,"12",51,"development","diagnostic",0.537,0.375,0.699,53.8,NA,NA,60,NA,NA,"yes","could not determine","Figure 2F","no"
"4872","10_3389_fendo_2025_1687145",2,"13",82,"development","diagnostic",0.986,0.969,1.004,96.2,NA,NA,89.3,NA,NA,"yes","could not determine","Figure 2G","no"
"4873","10_3389_fendo_2025_1687145",2,"14",82,"development","diagnostic",0.702,0.543,0.861,69.2,NA,NA,51.8,NA,NA,"yes","could not determine","Figure 2H","no"
"4874","10_3389_fendo_2025_1687145",2,"15",82,"development","diagnostic",0.694,0.556,0.832,73.1,NA,NA,66.1,NA,NA,"yes","could not determine","Figure 2G","no"
"4875","10_3389_fendo_2025_1687145",2,"16",82,"development","diagnostic",0.973,0.944,1.002,100,NA,NA,85.7,NA,NA,"yes","could not determine","Figure 2H","no"
"4876","10_3389_fendo_2025_1687146",3,"5",27,"internal validation","diagnostic",0.984,0.866,1,92.3,80.1,97.4,NA,NA,NA,"yes","could not determine","Figure 5B","no"
"4877","10_3389_fendo_2025_1687146",3,"7",62,"development","diagnostic",0.984,0.933,1,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 5B","no"
"4878","10_3389_fendo_2025_1670909",4,"1",353,"development","prognostic",0.886,NA,NA,77.6,NA,NA,83.6,NA,NA,"no",NA,NA,"no"
"4879","10_3389_fendo_2025_1670909",4,"2",353,"development","prognostic",0.687,NA,NA,74.6,NA,NA,63.2,NA,NA,"no",NA,NA,"no"
"4880","10_3389_fendo_2025_1670909",4,"3",353,"development","prognostic",0.731,NA,NA,61.3,NA,NA,70,NA,NA,"no",NA,NA,"no"
"4881","10_3389_fendo_2025_1670909",4,"4",51,"external validation","prognostic",0.744,NA,NA,73.3,NA,NA,66.7,NA,NA,"yes","could not determine","could not determine","no"
"4882","10_3389_fendo_2025_1670909",4,"5",51,"external validation","prognostic",0.654,NA,NA,66.7,NA,NA,61.9,NA,NA,"yes","could not determine","could not determine","no"
"4883","10_3389_fendo_2025_1670909",4,"6",51,"external validation","prognostic",0.652,NA,NA,73.3,NA,NA,47.6,NA,NA,"yes","could not determine","could not determine","no"
"4884","10_3389_fendo_2025_1678472",5,"1",344,"development","diagnostic",0.648,NA,NA,75.8,NA,NA,55,NA,NA,"yes","blue","Figure 3","no"
"4885","10_3389_fendo_2025_1678472",5,"2",344,"development","diagnostic",0.877,NA,NA,NA,NA,NA,NA,NA,NA,"yes","red","Figure 3","no"
"4886","10_3389_fendo_2025_1678472",5,"3",344,"development","diagnostic",0.674,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"4887","10_3389_fendo_2025_1697233",1,"1",261,"development","diagnostic",0.77,0.767,0.775,75.7,70.7,80.7,65.9,60.2,71.6,"yes","could not determine","Figure 5A","no"
"4888","10_3389_fendo_2025_1697233",1,"2",59,"internal validation","diagnostic",0.722,0.716,0.725,77.6,69.4,85.2,47.8,38.2,57.3,"yes","could not determine","Figure 5B","no"
"4889","10_3389_fendo_2025_1697233",1,"3",43,"external validation","diagnostic",0.72,0.691,0.749,82.5,78.3,86.1,54,49.3,58.9,"yes","could not determine","Figure 5C","no"
"4890","10_3389_fendo_2025_1697233",1,"4",41,"external validation","diagnostic",0.731,0.713,0.748,81.1,77.4,83.9,55.7,52.3,59.2,"yes","could not determine","Figure 5D","no"
"4891","10_3389_fendo_2025_1697233",1,"5",261,"development","diagnostic",0.694,0.662,0.718,73.1,67.4,78.4,62,54.3,68.8,"yes","could not determine","Figure 5A","no"
"4892","10_3389_fendo_2025_1697233",1,"6",59,"internal validation","diagnostic",0.678,0.634,0.721,81.4,73.2,88.7,41.9,32.4,51.3,"yes","could not determine","Figure 5B","no"
"4893","10_3389_fendo_2025_1697233",1,"7",43,"external validation","diagnostic",0.679,0.637,0.723,82,75.2,87.4,42.3,34.2,49.8,"yes","could not determine","Figure 5C","no"
"4894","10_3389_fendo_2025_1697233",1,"8",41,"external validation","diagnostic",0.722,0.682,0.749,76.9,69.4,84.2,47.5,38.2,56.1,"yes","could not determine","Figure 5D","no"
"4895","10_3389_fendo_2025_1697233",1,"9",261,"development","diagnostic",0.708,0.673,0.742,74.8,69.3,80.2,65.4,58.2,71.9,"yes","could not determine","Figure 5A","no"
"4896","10_3389_fendo_2025_1697233",1,"10",59,"internal validation","diagnostic",0.631,0.584,0.671,79.4,70.3,86.9,36.8,27.3,46.9,"yes","could not determine","Figure 5B","no"
"4897","10_3389_fendo_2025_1697233",1,"11",43,"external validation","diagnostic",0.62,0.583,0.662,78.6,72.3,84.9,36.6,27.3,45.7,"yes","could not determine","Figure 5C","no"
"4898","10_3389_fendo_2025_1697233",1,"12",41,"external validation","diagnostic",0.67,0.633,0.707,80.6,73.4,87.1,41.2,31.7,50.7,"yes","could not determine","Figure 5D","no"
"4899","10_3389_fendo_2025_1698247",2,"1",3465,"development","diagnostic",0.877,0.867,0.887,75,73.4,76.6,90.3,89,91.4,"yes","could not determine","Figure 6A","no"
"4900","10_3389_fendo_2025_1698247",2,"2",3465,"development","diagnostic",0.824,0.812,0.836,75.4,73.8,77,80.7,79,82.2,"yes","could not determine","Figure 6A","no"
"4901","10_3389_fendo_2025_1698247",2,"3",3465,"development","diagnostic",0.956,0.951,0.962,86.2,84.9,87.5,94.3,93.3,95.1,"yes","could not determine","Figure 6B","no"
"4902","10_3389_fendo_2025_1698247",2,"4",3465,"development","diagnostic",0.958,0.953,0.964,87.2,85.9,88.4,92.8,91.7,93.7,"yes","could not determine","Figure 6B","no"
"4903","10_3389_fendo_2025_1698247",2,"5",3465,"development","diagnostic",0.964,0.959,0.969,89.1,87.9,90.2,96,95.2,96.7,"yes","could not determine","Figure 6B","no"
"4904","10_3389_fendo_2025_1698247",2,"6",3465,"development","diagnostic",0.965,0.96,0.97,90.1,88.9,91.2,95.1,94.2,95.9,"yes","could not determine","Figure 6B","no"
"4905","10_3389_fendo_2025_1698247",2,"7",3465,"development","diagnostic",0.957,0.951,0.962,90,88.8,91.1,90.7,89.5,91.8,"yes","could not determine","Figure 6C","no"
"4906","10_3389_fendo_2025_1698247",2,"8",3465,"development","diagnostic",0.958,0.953,0.964,87.5,86.2,88.7,93.5,92.5,94.4,"yes","could not determine","Figure 6C","no"
"4907","10_3389_fendo_2025_1698247",2,"9",3465,"development","diagnostic",0.968,0.963,0.972,89.1,87.8,90.2,95.4,94.5,96.1,"yes","could not determine","Figure 6C","no"
"4908","10_3389_fendo_2025_1698247",2,"10",3465,"development","diagnostic",0.969,0.964,0.973,88.1,86.8,89.3,95.9,95.1,96.6,"yes","could not determine","Figure 6C","no"
"4909","10_3389_fendo_2025_1698247",2,"11",23,"external validation","diagnostic",0.844,0.734,0.955,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"4910","10_3389_fendo_2025_1698247",2,"12",28,"external validation","diagnostic",0.752,0.686,0.854,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"4911","10_3389_fendo_2025_1698247",2,"13",41,"external validation","diagnostic",0.82,0.722,0.918,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"4912","10_3389_fendo_2025_1698247",2,"14",30,"external validation","diagnostic",0.83,0.711,0.949,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"4913","10_3389_fendo_2025_1698247",2,"15",23,"external validation","diagnostic",0.846,0.735,0.956,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"4914","10_3389_fendo_2025_1698247",2,"16",28,"external validation","diagnostic",0.754,0.612,0.868,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"4915","10_3389_fendo_2025_1698247",2,"17",41,"external validation","diagnostic",0.82,0.722,0.918,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"4916","10_3389_fendo_2025_1698247",2,"18",30,"external validation","diagnostic",0.838,0.719,0.957,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"4917","10_3389_fendo_2025_1698247",2,"19",23,"external validation","diagnostic",0.989,0.973,1,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"4918","10_3389_fendo_2025_1698247",2,"20",28,"external validation","diagnostic",0.712,0.602,0.822,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"4919","10_3389_fendo_2025_1698247",2,"21",41,"external validation","diagnostic",0.845,0.732,0.957,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"4920","10_3389_fendo_2025_1698247",2,"22",30,"external validation","diagnostic",0.849,0.726,0.972,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"4921","10_3389_fendo_2025_1698247",2,"23",23,"external validation","diagnostic",0.971,0.936,1,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"4922","10_3389_fendo_2025_1698247",2,"24",28,"external validation","diagnostic",0.689,0.577,0.801,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"4923","10_3389_fendo_2025_1698247",2,"25",41,"external validation","diagnostic",0.852,0.714,0.967,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"4924","10_3389_fendo_2025_1698247",2,"26",30,"external validation","diagnostic",0.804,0.782,0.926,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"4925","10_3389_fendo_2025_1699656",3,"1",40,"development","prognostic",0.61,0.428,0.76,NA,NA,NA,NA,NA,NA,"yes","red","Figure 2A","no"
"4926","10_3389_fendo_2025_1699656",3,"2",40,"development","prognostic",0.82,0.68,0.94,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 2A","no"
"4927","10_3389_fendo_2025_1699656",3,"3",40,"development","prognostic",0.83,0.67,0.96,NA,NA,NA,NA,NA,NA,"yes","green","Figure 2A","no"
"4928","10_3389_fendo_2025_1699656",3,"4",40,"development","prognostic",0.65,0.47,0.824,NA,NA,NA,NA,NA,NA,"yes","red","Figure 2B","no"
"4929","10_3389_fendo_2025_1699656",3,"5",40,"development","prognostic",0.51,0.322,0.801,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 2B","no"
"4930","10_3389_fendo_2025_1699656",3,"6",40,"development","prognostic",0.67,0.494,0.698,NA,NA,NA,NA,NA,NA,"yes","green","Figure 2B","no"
"4931","10_3389_fendo_2025_1699656",3,"7",40,"development","prognostic",0.565,0.46,0.77,NA,NA,NA,NA,NA,NA,"yes","red","Figure 2C","no"
"4932","10_3389_fendo_2025_1699656",3,"8",40,"development","prognostic",0.8,0.66,0.93,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 2C","no"
"4933","10_3389_fendo_2025_1699656",3,"9",40,"development","prognostic",0.81,0.65,0.95,NA,NA,NA,NA,NA,NA,"yes","green","Figure 2C","no"
